store,sku,date,stock
218,100630105000002,2020-09-03,6
219,100630105000002,2020-09-03,9
22,100630105000002,2020-09-03,10
221,100630105000002,2020-09-03,10
26,100630105000002,2020-09-03,6
27,100630105000002,2020-09-03,9
28,100630105000002,2020-09-03,5
29,100630105000002,2020-09-03,9
3,100630105000002,2020-09-03,9
3005,100630105000002,2020-09-03,10
3202,100630105000002,2020-09-03,9
3205,100630105000002,2020-09-03,9
3208,100630105000002,2020-09-03,10
3245,100630105000002,2020-09-03,5
35,100630105000002,2020-09-03,5
36,100630105000002,2020-09-03,5
37,100630105000002,2020-09-03,11
4,100630105000002,2020-09-03,9
4104,100630105000002,2020-09-03,11
4123,100630105000002,2020-09-03,10
4129,100630105000002,2020-09-03,10
4133,100630105000002,2020-09-03,9
4134,100630105000002,2020-09-03,9
42,100630105000002,2020-09-03,20
43,100630105000002,2020-09-03,6
44,100630105000002,2020-09-03,6
45,100630105000002,2020-09-03,6
46,100630105000002,2020-09-03,9
47,100630105000002,2020-09-03,10
4803,100630105000002,2020-09-03,9
4805,100630105000002,2020-09-03,10
4904,100630105000002,2020-09-03,10
4906,100630105000002,2020-09-03,19
5,100630105000002,2020-09-03,11
50,100630105000002,2020-09-03,10
51,100630105000002,2020-09-03,10
52,100630105000002,2020-09-03,6
55,100630105000002,2020-09-03,6
56,100630105000002,2020-09-03,5
57,100630105000002,2020-09-03,10
61,100630105000002,2020-09-03,5
63,100630105000002,2020-09-03,9
64,100630105000002,2020-09-03,9
67,100630105000002,2020-09-03,11
68,100630105000002,2020-09-03,9
69,100630105000002,2020-09-03,10
7,100630105000002,2020-09-03,11
73,100630105000002,2020-09-03,9
74,100630105000002,2020-09-03,5
76,100630105000002,2020-09-03,19
79,100630105000002,2020-09-03,9
8,100630105000002,2020-09-03,11
81,100630105000002,2020-09-03,6
82,100630105000002,2020-09-03,20
84,100630105000002,2020-09-03,6
85,100630105000002,2020-09-03,5
88,100630105000002,2020-09-03,10
89,100630105000002,2020-09-03,11
90,100630105000002,2020-09-03,10
91,100630105000002,2020-09-03,6
95,100630105000002,2020-09-03,9
96,100630105000002,2020-09-03,20
99,100630105000002,2020-09-03,6
220,100630105000002,2020-09-03,10
225,100630105000002,2020-09-03,10
VZ01,100630105000002,2020-09-03,2024
10,100630105000002,2020-09-04,6
100,100630105000002,2020-09-04,25
104,100630105000002,2020-09-04,9
105,100630105000002,2020-09-04,9
106,100630105000002,2020-09-04,9
109,100630105000002,2020-09-04,20
11,100630105000002,2020-09-04,20
114,100630105000002,2020-09-04,6
117,100630105000002,2020-09-04,9
119,100630105000002,2020-09-04,6
121,100630105000002,2020-09-04,9
122,100630105000002,2020-09-04,5
123,100630105000002,2020-09-04,6
130,100630105000002,2020-09-04,9
133,100630105000002,2020-09-04,10
135,100630105000002,2020-09-04,6
136,100630105000002,2020-09-04,9
141,100630105000002,2020-09-04,10
143,100630105000002,2020-09-04,20
144,100630105000002,2020-09-04,11
147,100630105000002,2020-09-04,6
149,100630105000002,2020-09-04,5
15,100630105000002,2020-09-04,10
150,100630105000002,2020-09-04,6
152,100630105000002,2020-09-04,9
156,100630105000002,2020-09-04,9
159,100630105000002,2020-09-04,9
160,100630105000002,2020-09-04,10
162,100630105000002,2020-09-04,9
163,100630105000002,2020-09-04,5
164,100630105000002,2020-09-04,11
166,100630105000002,2020-09-04,9
167,100630105000002,2020-09-04,10
168,100630105000002,2020-09-04,6
170,100630105000002,2020-09-04,6
171,100630105000002,2020-09-04,9
172,100630105000002,2020-09-04,6
173,100630105000002,2020-09-04,10
174,100630105000002,2020-09-04,6
175,100630105000002,2020-09-04,6
179,100630105000002,2020-09-04,10
18,100630105000002,2020-09-04,6
180,100630105000002,2020-09-04,9
181,100630105000002,2020-09-04,9
182,100630105000002,2020-09-04,9
183,100630105000002,2020-09-04,20
184,100630105000002,2020-09-04,6
185,100630105000002,2020-09-04,6
186,100630105000002,2020-09-04,9
188,100630105000002,2020-09-04,6
189,100630105000002,2020-09-04,6
201,100630105000002,2020-09-04,6
202,100630105000002,2020-09-04,10
203,100630105000002,2020-09-04,6
21,100630105000002,2020-09-04,9
213,100630105000002,2020-09-04,6
214,100630105000002,2020-09-04,9
215,100630105000002,2020-09-04,9
216,100630105000002,2020-09-04,6
217,100630105000002,2020-09-04,9
218,100630105000002,2020-09-04,6
219,100630105000002,2020-09-04,9
22,100630105000002,2020-09-04,10
221,100630105000002,2020-09-04,10
26,100630105000002,2020-09-04,6
27,100630105000002,2020-09-04,9
28,100630105000002,2020-09-04,5
29,100630105000002,2020-09-04,9
3,100630105000002,2020-09-04,9
3005,100630105000002,2020-09-04,10
3202,100630105000002,2020-09-04,9
3205,100630105000002,2020-09-04,9
3208,100630105000002,2020-09-04,10
3245,100630105000002,2020-09-04,5
35,100630105000002,2020-09-04,5
36,100630105000002,2020-09-04,5
37,100630105000002,2020-09-04,11
4,100630105000002,2020-09-04,9
4104,100630105000002,2020-09-04,11
4123,100630105000002,2020-09-04,10
4129,100630105000002,2020-09-04,10
4133,100630105000002,2020-09-04,9
4134,100630105000002,2020-09-04,9
42,100630105000002,2020-09-04,20
43,100630105000002,2020-09-04,6
44,100630105000002,2020-09-04,6
45,100630105000002,2020-09-04,6
46,100630105000002,2020-09-04,9
47,100630105000002,2020-09-04,10
4803,100630105000002,2020-09-04,9
4805,100630105000002,2020-09-04,10
4904,100630105000002,2020-09-04,10
4906,100630105000002,2020-09-04,19
5,100630105000002,2020-09-04,11
50,100630105000002,2020-09-04,10
51,100630105000002,2020-09-04,10
52,100630105000002,2020-09-04,6
55,100630105000002,2020-09-04,6
56,100630105000002,2020-09-04,5
57,100630105000002,2020-09-04,10
61,100630105000002,2020-09-04,5
63,100630105000002,2020-09-04,9
64,100630105000002,2020-09-04,9
67,100630105000002,2020-09-04,11
68,100630105000002,2020-09-04,9
69,100630105000002,2020-09-04,10
7,100630105000002,2020-09-04,11
73,100630105000002,2020-09-04,9
74,100630105000002,2020-09-04,5
76,100630105000002,2020-09-04,19
79,100630105000002,2020-09-04,9
8,100630105000002,2020-09-04,11
81,100630105000002,2020-09-04,6
82,100630105000002,2020-09-04,20
84,100630105000002,2020-09-04,6
85,100630105000002,2020-09-04,5
88,100630105000002,2020-09-04,10
89,100630105000002,2020-09-04,11
90,100630105000002,2020-09-04,10
91,100630105000002,2020-09-04,6
95,100630105000002,2020-09-04,9
96,100630105000002,2020-09-04,20
99,100630105000002,2020-09-04,6
220,100630105000002,2020-09-04,10
225,100630105000002,2020-09-04,10
VZ01,100630105000002,2020-09-04,2024
10,100630105000002,2020-09-05,6
100,100630105000002,2020-09-05,25
104,100630105000002,2020-09-05,9
105,100630105000002,2020-09-05,9
106,100630105000002,2020-09-05,9
109,100630105000002,2020-09-05,20
11,100630105000002,2020-09-05,20
114,100630105000002,2020-09-05,6
117,100630105000002,2020-09-05,9
119,100630105000002,2020-09-05,6
121,100630105000002,2020-09-05,9
122,100630105000002,2020-09-05,5
123,100630105000002,2020-09-05,6
130,100630105000002,2020-09-05,9
133,100630105000002,2020-09-05,10
135,100630105000002,2020-09-05,6
136,100630105000002,2020-09-05,9
141,100630105000002,2020-09-05,10
143,100630105000002,2020-09-05,20
144,100630105000002,2020-09-05,11
147,100630105000002,2020-09-05,6
149,100630105000002,2020-09-05,5
15,100630105000002,2020-09-05,10
150,100630105000002,2020-09-05,6
152,100630105000002,2020-09-05,9
156,100630105000002,2020-09-05,9
159,100630105000002,2020-09-05,9
160,100630105000002,2020-09-05,10
162,100630105000002,2020-09-05,9
163,100630105000002,2020-09-05,5
164,100630105000002,2020-09-05,11
166,100630105000002,2020-09-05,9
167,100630105000002,2020-09-05,10
168,100630105000002,2020-09-05,6
170,100630105000002,2020-09-05,6
171,100630105000002,2020-09-05,9
172,100630105000002,2020-09-05,6
173,100630105000002,2020-09-05,10
174,100630105000002,2020-09-05,6
175,100630105000002,2020-09-05,6
179,100630105000002,2020-09-05,10
18,100630105000002,2020-09-05,6
180,100630105000002,2020-09-05,9
181,100630105000002,2020-09-05,9
182,100630105000002,2020-09-05,9
183,100630105000002,2020-09-05,20
184,100630105000002,2020-09-05,6
185,100630105000002,2020-09-05,6
186,100630105000002,2020-09-05,9
188,100630105000002,2020-09-05,6
189,100630105000002,2020-09-05,6
201,100630105000002,2020-09-05,6
202,100630105000002,2020-09-05,10
203,100630105000002,2020-09-05,6
21,100630105000002,2020-09-05,9
213,100630105000002,2020-09-05,6
214,100630105000002,2020-09-05,9
215,100630105000002,2020-09-05,9
216,100630105000002,2020-09-05,6
217,100630105000002,2020-09-05,9
218,100630105000002,2020-09-05,6
219,100630105000002,2020-09-05,9
22,100630105000002,2020-09-05,10
221,100630105000002,2020-09-05,10
26,100630105000002,2020-09-05,6
27,100630105000002,2020-09-05,9
28,100630105000002,2020-09-05,5
29,100630105000002,2020-09-05,9
3,100630105000002,2020-09-05,9
3005,100630105000002,2020-09-05,10
3202,100630105000002,2020-09-05,9
3205,100630105000002,2020-09-05,9
3208,100630105000002,2020-09-05,10
3245,100630105000002,2020-09-05,5
35,100630105000002,2020-09-05,5
36,100630105000002,2020-09-05,5
37,100630105000002,2020-09-05,11
4,100630105000002,2020-09-05,9
4104,100630105000002,2020-09-05,11
4123,100630105000002,2020-09-05,10
4129,100630105000002,2020-09-05,10
4133,100630105000002,2020-09-05,9
4134,100630105000002,2020-09-05,9
42,100630105000002,2020-09-05,20
43,100630105000002,2020-09-05,6
44,100630105000002,2020-09-05,6
45,100630105000002,2020-09-05,6
46,100630105000002,2020-09-05,9
47,100630105000002,2020-09-05,10
4803,100630105000002,2020-09-05,9
4805,100630105000002,2020-09-05,10
4904,100630105000002,2020-09-05,10
4906,100630105000002,2020-09-05,19
5,100630105000002,2020-09-05,11
50,100630105000002,2020-09-05,10
51,100630105000002,2020-09-05,10
52,100630105000002,2020-09-05,6
55,100630105000002,2020-09-05,6
56,100630105000002,2020-09-05,5
57,100630105000002,2020-09-05,10
61,100630105000002,2020-09-05,5
63,100630105000002,2020-09-05,9
64,100630105000002,2020-09-05,9
67,100630105000002,2020-09-05,11
68,100630105000002,2020-09-05,9
69,100630105000002,2020-09-05,10
7,100630105000002,2020-09-05,11
73,100630105000002,2020-09-05,9
74,100630105000002,2020-09-05,5
76,100630105000002,2020-09-05,19
79,100630105000002,2020-09-05,9
8,100630105000002,2020-09-05,11
81,100630105000002,2020-09-05,6
82,100630105000002,2020-09-05,20
84,100630105000002,2020-09-05,6
85,100630105000002,2020-09-05,5
88,100630105000002,2020-09-05,10
89,100630105000002,2020-09-05,11
90,100630105000002,2020-09-05,10
91,100630105000002,2020-09-05,6
95,100630105000002,2020-09-05,9
96,100630105000002,2020-09-05,20
99,100630105000002,2020-09-05,6
220,100630105000002,2020-09-05,10
225,100630105000002,2020-09-05,10
VZ01,100630105000002,2020-09-05,2024
10,100630105000002,2020-09-06,6
100,100630105000002,2020-09-06,25
104,100630105000002,2020-09-06,9
105,100630105000002,2020-09-06,9
106,100630105000002,2020-09-06,9
109,100630105000002,2020-09-06,20
11,100630105000002,2020-09-06,20
114,100630105000002,2020-09-06,6
117,100630105000002,2020-09-06,9
119,100630105000002,2020-09-06,6
121,100630105000002,2020-09-06,9
122,100630105000002,2020-09-06,5
123,100630105000002,2020-09-06,6
130,100630105000002,2020-09-06,9
133,100630105000002,2020-09-06,10
135,100630105000002,2020-09-06,6
136,100630105000002,2020-09-06,9
141,100630105000002,2020-09-06,10
143,100630105000002,2020-09-06,20
144,100630105000002,2020-09-06,11
147,100630105000002,2020-09-06,6
149,100630105000002,2020-09-06,5
15,100630105000002,2020-09-06,10
150,100630105000002,2020-09-06,6
152,100630105000002,2020-09-06,9
156,100630105000002,2020-09-06,9
159,100630105000002,2020-09-06,9
160,100630105000002,2020-09-06,10
162,100630105000002,2020-09-06,9
163,100630105000002,2020-09-06,5
164,100630105000002,2020-09-06,11
166,100630105000002,2020-09-06,9
167,100630105000002,2020-09-06,10
168,100630105000002,2020-09-06,6
170,100630105000002,2020-09-06,6
171,100630105000002,2020-09-06,9
172,100630105000002,2020-09-06,6
173,100630105000002,2020-09-06,10
174,100630105000002,2020-09-06,6
175,100630105000002,2020-09-06,6
179,100630105000002,2020-09-06,10
18,100630105000002,2020-09-06,6
180,100630105000002,2020-09-06,9
181,100630105000002,2020-09-06,9
182,100630105000002,2020-09-06,9
183,100630105000002,2020-09-06,20
184,100630105000002,2020-09-06,6
185,100630105000002,2020-09-06,6
186,100630105000002,2020-09-06,9
188,100630105000002,2020-09-06,6
189,100630105000002,2020-09-06,6
201,100630105000002,2020-09-06,6
202,100630105000002,2020-09-06,10
203,100630105000002,2020-09-06,6
21,100630105000002,2020-09-06,9
213,100630105000002,2020-09-06,6
214,100630105000002,2020-09-06,9
215,100630105000002,2020-09-06,9
216,100630105000002,2020-09-06,6
217,100630105000002,2020-09-06,9
218,100630105000002,2020-09-06,6
219,100630105000002,2020-09-06,9
22,100630105000002,2020-09-06,10
221,100630105000002,2020-09-06,10
26,100630105000002,2020-09-06,6
27,100630105000002,2020-09-06,9
28,100630105000002,2020-09-06,5
29,100630105000002,2020-09-06,9
3,100630105000002,2020-09-06,9
3005,100630105000002,2020-09-06,10
3202,100630105000002,2020-09-06,9
3205,100630105000002,2020-09-06,9
3208,100630105000002,2020-09-06,10
3245,100630105000002,2020-09-06,5
35,100630105000002,2020-09-06,5
36,100630105000002,2020-09-06,5
37,100630105000002,2020-09-06,11
4,100630105000002,2020-09-06,9
4104,100630105000002,2020-09-06,11
4123,100630105000002,2020-09-06,10
4129,100630105000002,2020-09-06,10
4133,100630105000002,2020-09-06,9
4134,100630105000002,2020-09-06,9
42,100630105000002,2020-09-06,20
43,100630105000002,2020-09-06,6
44,100630105000002,2020-09-06,6
45,100630105000002,2020-09-06,6
46,100630105000002,2020-09-06,9
47,100630105000002,2020-09-06,10
