Unnamed: 0,sku
0,100060035000001
1,100085001000007
2,100518028000010
3,100518251000001
4,100518540000001
5,100520251000001
6,7014074
7,100528016000005
8,100528042000011
9,100533066000005
10,100533940000004
11,100541123000005
12,100553118000001
13,100553791000002
14,100553832000003
15,100557055000001
16,100618098000004
17,100628616000001
18,100630266000002
19,100630285000001
20,100630347000003
21,100639001000001
22,100642343000001
23,100643102000001
24,100648055000002
25,100559373000004
26,100066528000001
27,100066533000001
28,100066533000002
29,100066514000001
30,100066515000001
31,100066516000001
32,100066517000001
33,100066518000001
34,100066538000001
35,100066017000004
36,100063507000001
37,100657002000002
38,100062090000001
39,100062089000001
40,100062126000001
41,100090056000001
42,100090056000002
43,100642170000003
44,100062210000001
45,100062213000001
46,100062195000001
47,100062196000001
48,100062196000002
49,100062198000001
50,100062150000003
51,100062203000002
52,100062150000002
53,100062202000002
54,100062150000001
55,100062150000004
56,100062150000005
57,201264888000004
58,201264888000005
59,100090166000001
60,100090166000002
61,100090166000003
62,100653023000004
63,100653024000001
64,100090181000004
65,100653026000003
66,100653026000004
67,201264888000001
68,201264888000002
69,7014052
70,7012930
71,100653024000002
72,100653023000001
73,100630129000004
74,100062001000001
75,100062000000001
76,100548231000004
77,100090133000001
78,100653023000003
79,100653024000003
80,100653024000004
81,100559240000004
82,100559267000004
83,100559268000004
84,100559269000004
85,100533617000011
86,100060044000001
87,201259888000001
88,205612451024004
89,100062500000001
90,100062250000002
91,7014324
92,100062249000004
93,100062250000001
94,100062249000003
95,100066028000003
96,100066027000004
97,100062501000001
98,205612450630001
99,201264888000003
100,100653023000002
101,100060002000001
102,100060002000002
103,100060002000003
104,100060003000005
105,100553877000004
106,100559279000002
107,100559279000001
108,100089297000003
109,100653020000001
110,100653019000001
111,100653020000002
112,100089297000001
113,100089297000002
114,100085297000002
115,100085297000003
116,100085297000001
117,100653020000003
118,100653019000002
119,100553927000004
120,100557077000005
121,100552711000002
122,100552711000001
123,100559235000005
124,100559235000009
125,100552711000003
126,100653026000001
127,100552711000004
128,100552712000001
129,100653019000003
130,100653019000004
131,100557078000001
132,100553875000003
133,100548172000004
134,100548172000003
135,100553927000002
136,100553875000004
137,100559257000001
138,100559234000001
139,100559234000009
140,100653022000003
141,100653022000004
142,100553927000003
143,100653025000001
144,100653025000002
145,100653025000003
146,100653025000004
147,100653026000002
148,100548172000002
149,100548172000005
150,100548172000001
151,100653022000002
152,100532266000004
153,100520138000012
154,100520138000003
155,100520138000004
156,100520138000001
157,100520138000002
158,100553877000001
159,100628476000004
160,100520138000006
161,100520138000009
162,100520138000005
163,100520138000010
164,100520138000007
165,100520138000008
166,100520138000011
167,100553877000002
168,100553927000001
169,100553877000003
170,100553875000001
171,100553875000002
172,100553874000001
173,100553874000002
174,100553874000003
175,100553874000004
176,100553828000001
177,100553828000002
178,100553828000003
179,100553828000004
180,100628443000001
181,100628443000002
182,100628443000003
183,100559218000003
184,100559218000002
185,100559218000001
186,100559219000001
187,100559219000002
188,100559219000003
189,100559265000005
190,100520138000014
191,100559265000006
192,100559265000007
193,100653022000001
194,100520138000013
195,100520138000015
196,100520138000016
197,100559221000001
198,100559221000002
199,100559221000003
200,100552715000004
201,100533935000003
202,100533935000004
203,100533935000005
204,100653020000004
205,100653021000001
206,100653021000002
207,100653021000003
208,100653021000004
209,100549345000001
210,100549345000002
211,100549345000003
212,100080132000003
213,100618030000001
214,100610290000009
215,100618030000002
216,100618030000003
217,100618030000004
218,100618030000005
219,205601251000005
220,100618030000006
221,100618030000007
222,100618030000008
223,100618030000009
224,100618030000010
225,100549344000003
226,100618030000011
227,100620030000001
228,100620030000002
229,100620030000003
230,100620030000004
231,100630030000001
232,100630030000002
233,100630030000003
234,100549344000001
235,100549344000002
236,100549344000004
237,100549346000001
238,100549346000002
239,100549346000003
240,100549346000004
241,100628057000004
242,100628057000005
243,100628057000006
244,100628057000007
245,100628057000008
246,100630057000001
247,100630057000002
248,100630057000003
249,100532331000001
250,100532331000002
251,100532331000003
252,100549347000001
253,100549347000002
254,100549347000003
255,100549347000004
256,100549315000001
257,100549315000002
258,100549315000003
259,100549315000004
260,100532543000001
261,100532543000002
262,100532543000003
263,100532333000001
264,100532333000002
265,100532333000003
266,100618057000001
267,100618057000002
268,100618057000003
269,100559279000004
270,100618057000008
271,100618057000004
272,100618057000005
273,100618057000006
274,100618057000007
275,100620057000001
276,100620057000002
277,100620057000003
278,100620057000004
279,100628027000001
280,100628027000002
281,100628027000003
282,100628057000001
283,100628057000002
284,100628057000003
285,100642137000002
286,100642137000003
287,100624037000001
288,100624037000002
289,100548367000002
290,100548367000003
291,100549345000004
292,100548367000001
293,100618020000001
294,100618020000002
295,100618020000003
296,100618020000004
297,100618020000005
298,100618020000006
299,100618020000007
300,100618020000008
301,100079202000001
302,100079202000002
303,100630037000001
304,100630037000002
305,100630037000003
306,100642037000001
307,100642037000002
308,100642037000003
309,100642137000001
310,100628045000014
311,100628045000015
312,100630045000004
313,100630045000005
314,100630045000006
315,100618045000013
316,100618045000014
317,100618045000015
318,100618045000016
319,100618045000017
320,100618045000018
321,100618045000019
322,100618045000020
323,100618045000021
324,100620045000005
325,100620045000006
326,100620045000007
327,100628045000010
328,100628045000011
329,100628045000012
330,100628045000013
331,100624037000003
332,100535096000001
333,100535096000002
334,100535096000003
335,100535096000004
336,100079104000001
337,100079104000002
338,100535097000001
339,100535097000002
340,100535097000003
341,100535097000004
342,100559327000002
343,100559327000003
344,100559327000001
345,100080039000005
346,100080039000006
347,100628045000017
348,100628045000018
349,100628045000019
350,100628045000020
351,100642162000002
352,100642062000008
353,100559294000002
354,100642062000009
355,100642062000001
356,100642062000002
357,100620062000001
358,100620062000002
359,100620062000003
360,100630062000001
361,100630062000002
362,100630062000003
363,100642062000003
364,100552670000001
365,100552670000002
366,100552670000003
367,100552670000004
368,100552710000001
369,100552710000002
370,100552710000003
371,100552710000004
372,100525169000005
373,100525169000001
374,100525169000002
375,100525169000003
376,100525169000004
377,100511169000001
378,100511169000002
379,100511169000003
380,100511169000004
381,100552660000001
382,100552660000002
383,100552660000003
384,100552660000004
385,100552460000001
386,100642162000003
387,100642062000004
388,100642062000005
389,100642062000006
390,100642062000007
391,100552460000002
392,100552460000003
393,100552460000004
394,100548366000003
395,100548366000001
396,100548366000002
397,100642162000001
398,100559287000003
399,100559287000002
400,100559287000001
401,100559287000004
402,100559277000003
403,100559277000002
404,100559277000001
405,100559277000004
406,100559279000005
407,100559293000002
408,100559293000001
409,100559293000004
410,100559279000007
411,100559279000006
412,100559279000008
413,100559279000003
414,100559271000003
415,100080019000002
416,100559271000002
417,100559271000001
418,100559271000004
419,100559286000003
420,100559294000003
421,100559294000001
422,100559294000004
423,100559293000003
424,100080019000001
425,100559286000002
426,100559286000001
427,100559286000004
428,100559285000003
429,100559285000002
430,100559285000001
431,100559285000004
432,100559279000009
433,100559279000010
434,100085107000001
435,100085107000002
436,100085107000003
437,100060003000004
438,100060002000005
439,100060003000001
440,100060003000002
441,100060003000003
442,100079202000003
443,100532330000001
444,100532330000002
445,100532330000003
446,100532330000004
447,100060014000001
448,100066512000001
449,100066513000001
